condsFile,readyMsg,stimFile,corrAns,bildFil,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_14.keys,key_resp_14.rt,key_resp_12.keys,key_resp_12.corr,key_resp_12.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,participant,session,date,expName,frameRate,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. drum 2. cake 3. pear,3,,0,0,0,0,0,17,17,8,,,,,,,,,,,,,3,1,4.696579545998247,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. banana 2. soccerball 3. orange,1,,0,0,0,0,0,18,18,20,,,,,,,,,,,,,1,1,2.9095479419920594,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. clarinet 2. pear 3. banana,2,,0,0,0,0,0,19,19,6,,,,,,,,,,,,,2,1,4.4625916900113225,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. bamboo 2. flute 3. trumpet,3,,0,0,0,0,0,20,20,13,,,,,,,,,,,,,3,1,7.7532624379964545,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. button 2. toast 3. pizza pie,2,,0,0,0,0,0,21,21,11,,,,,,,,,,,,,2,1,3.644455226982245,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. bowling ball 2. banana 3. coconut,2,,0,0,0,0,0,22,22,0,,,,,,,,,,,,,2,1,2.124581481999485,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,1. lamp 2. flashlight 3. clarinet,1,,0,0,0,0,0,23,23,15,,,,,,,,,,,,,1,1,6.967737503990065,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_shape.xlsx,You wil now be shown three words. Which word refers to the object with the most different shape? Press any key when ready.,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. cake 2. banana 3. flashlight,3,,0,1,1,1,0,0,0,9,,,,,,,,,,,space,1.4375582220091019,3,1,2.055333530995995,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. wall clock 2. pizza pie 3. coconut,1,,0,1,1,1,0,1,1,10,,,,,,,,,,,,,1,1,2.255739682004787,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. bamboo 2. flute 3. trumpet,1,,0,1,1,1,0,2,2,13,,,,,,,,,,,,,1,1,3.6948760189989116,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. banana 2. soccerball 3. orange,2,,0,1,1,1,0,3,3,20,,,,,,,,,,,,,2,1,2.1917543780000415,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. bowling ball 2. pear 3. orange,1,,0,1,1,1,0,4,4,2,,,,,,,,,,,,,1,1,1.9077563770115376,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. apple 2. tennis racket 3. soccerball,1,,0,1,1,1,0,5,5,19,,,,,,,,,,,,,1,1,2.1388844889879692,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
conditions_word_cat.xlsx,You will now be shown three words. Which word belongs to the most different category? Press any key when ready.,1. button 2. cucumber slice 3. toast,1,,0,1,1,1,0,6,6,3,,,,,,,,,,,,,1,1,2.2083015060052276,,,,,,D7Jenny,001,2018_Oct_24_1740,PI_psyexp,59.901344875295564,
